epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,25086,1.33098,1.05798,1.47927,0.91227,0.83982,0.91395,0.59359,1.20841,0.75954,1.40774,0.005842,0.005842,0.005842
44,25663.9,1.32514,1.06014,1.4713,0.91329,0.84133,0.91459,0.59482,1.20688,0.75612,1.40629,0.005743,0.005743,0.005743
45,26241.7,1.32558,1.05358,1.4732,0.91321,0.84364,0.9157,0.59622,1.20479,0.75302,1.40428,0.005644,0.005644,0.005644
46,26819.4,1.32445,1.0455,1.47098,0.91217,0.84602,0.91649,0.59734,1.20336,0.75032,1.40274,0.005545,0.005545,0.005545
47,27397,1.31954,1.04506,1.46862,0.91391,0.84681,0.91708,0.59797,1.20221,0.74705,1.40185,0.005446,0.005446,0.005446
48,27974.3,1.32183,1.04071,1.47237,0.91427,0.84782,0.91783,0.59862,1.20143,0.74381,1.40125,0.005347,0.005347,0.005347
49,28551.9,1.31871,1.03841,1.46651,0.91316,0.8488,0.91803,0.59962,1.20021,0.74086,1.40025,0.005248,0.005248,0.005248
50,29129.3,1.32282,1.044,1.47326,0.91485,0.84954,0.91898,0.60059,1.19882,0.73824,1.39932,0.005149,0.005149,0.005149
51,29706.6,1.31386,1.03733,1.46634,0.9145,0.85071,0.91962,0.60187,1.19647,0.73545,1.39791,0.00505,0.00505,0.00505
52,30284.1,1.31571,1.0311,1.4693,0.91486,0.85245,0.92044,0.60266,1.19481,0.73226,1.39688,0.004951,0.004951,0.004951
53,30861.7,1.31183,1.02634,1.4583,0.91488,0.85477,0.92117,0.60367,1.19365,0.72913,1.39536,0.004852,0.004852,0.004852
54,31438.8,1.30332,1.0184,1.45815,0.91585,0.85497,0.92156,0.60427,1.19165,0.72655,1.39401,0.004753,0.004753,0.004753
55,32015.7,1.30944,1.02046,1.45817,0.91581,0.85636,0.92204,0.6052,1.19012,0.7231,1.39256,0.004654,0.004654,0.004654
56,32593,1.3104,1.02004,1.46251,0.91629,0.85708,0.92273,0.60575,1.18907,0.71986,1.39184,0.004555,0.004555,0.004555
57,33170,1.29672,1.00546,1.45166,0.91642,0.8579,0.92299,0.606,1.18765,0.71725,1.39104,0.004456,0.004456,0.004456
58,33746.5,1.29532,1.00866,1.45411,0.91735,0.85898,0.92366,0.60668,1.18642,0.71486,1.39025,0.004357,0.004357,0.004357
59,34322.5,1.30445,1.00134,1.45685,0.91668,0.8605,0.92387,0.60723,1.18523,0.7123,1.38945,0.004258,0.004258,0.004258
60,34898.5,1.29273,1.0009,1.45173,0.91781,0.86166,0.92455,0.60782,1.18434,0.71048,1.38887,0.004159,0.004159,0.004159
61,35474.8,1.29855,1.00427,1.44984,0.91733,0.86265,0.92526,0.60875,1.18347,0.70839,1.38786,0.00406,0.00406,0.00406
62,36050.9,1.29038,0.99164,1.44669,0.91755,0.86393,0.92559,0.60913,1.18198,0.70621,1.38668,0.003961,0.003961,0.003961
63,36626.9,1.28721,0.98547,1.4417,0.9172,0.86421,0.92591,0.61012,1.18086,0.70371,1.38584,0.003862,0.003862,0.003862
64,37203.9,1.28614,0.98252,1.4421,0.92063,0.8628,0.92665,0.61046,1.17968,0.70164,1.38491,0.003763,0.003763,0.003763
65,37782.6,1.2847,0.98371,1.44257,0.92124,0.86317,0.92691,0.61106,1.17886,0.69942,1.38404,0.003664,0.003664,0.003664
66,38362.3,1.27976,0.98199,1.43969,0.92144,0.86428,0.9275,0.61187,1.1776,0.69739,1.38295,0.003565,0.003565,0.003565
