,ds_index,frame_index,class_label,bounding_box,confidence_score
0,0,1,person,"[2854.19775390625, 464.7488708496094, 3362.83203125, 1007.6508178710938]",0.8685211539268494
1,0,5,person,"[1453.02783203125, 9.659042358398438, 3078.45849609375, 1947.8624267578125]",0.8680946826934814
2,0,6,person,"[1.698760986328125, 1116.98046875, 1368.106689453125, 2140.978759765625]",0.4189760684967041
3,0,6,person,"[1.1019744873046875, 58.431976318359375, 1385.7889404296875, 2140.878173828125]",0.3442307114601135
4,0,7,person,"[2369.3603515625, 207.75091552734375, 3369.62353515625, 2132.9326171875]",0.9446110725402832
5,0,8,person,"[2402.27392578125, 243.01080322265625, 3323.069091796875, 2134.13330078125]",0.9365261197090148
6,0,9,person,"[2328.2734375, 219.109130859375, 3278.9150390625, 2136.370361328125]",0.942502498626709
7,0,10,person,"[2507.987548828125, 169.98257446289062, 3605.293212890625, 2132.70166015625]",0.935139775276184
8,0,12,person,"[2414.708984375, 128.43145751953125, 3377.40673828125, 2136.25146484375]",0.9334052205085754
9,0,13,person,"[2339.4580078125, 239.51312255859375, 3351.6279296875, 2139.219970703125]",0.9359750151634216
10,0,14,person,"[2124.2763671875, 239.22702026367188, 3357.84130859375, 2139.204345703125]",0.9473125338554382
11,0,15,person,"[2373.06005859375, 233.3726806640625, 3343.134765625, 2138.2763671875]",0.9351966381072998
12,0,16,person,"[2182.506103515625, 296.13299560546875, 3444.83642578125, 2132.8310546875]",0.9130799770355223
13,0,17,person,"[2185.444091796875, 270.7294006347656, 3400.12646484375, 2130.725830078125]",0.9430742859840392
14,0,18,person,"[2472.69189453125, 291.09210205078125, 3415.11376953125, 2140.596923828125]",0.9298203587532043
15,0,20,person,"[1095.319091796875, 42.421875, 3840.0, 2130.8427734375]",0.93526691198349
16,0,23,person,"[2293.57763671875, 120.78707885742188, 3521.66357421875, 2132.57861328125]",0.9309036135673524
17,0,24,person,"[2423.391357421875, 178.9515380859375, 3547.7451171875, 2133.88720703125]",0.9449598789215088
18,0,25,person,"[2840.61376953125, 539.273193359375, 3840.0, 1063.0380859375]",0.5992971658706665
19,0,26,person,"[2570.34765625, 229.09515380859375, 3840.0, 877.0323486328125]",0.7276903986930847
20,0,27,person,"[2198.98779296875, 1042.77978515625, 3839.9208984375, 2133.20458984375]",0.8579702973365784
21,0,29,person,"[2365.265625, 225.74130249023438, 3840.0, 2135.21826171875]",0.9526943564414978
22,0,31,person,"[2448.0869140625, 113.98031616210938, 3566.366455078125, 2132.59619140625]",0.9372260570526124
23,0,32,person,"[2134.2294921875, 204.0252685546875, 3406.521484375, 2131.52880859375]",0.9387816190719604
24,0,33,person,"[2570.021728515625, 161.564208984375, 3672.878173828125, 2138.55029296875]",0.9451727867126464
25,0,34,person,"[2548.6298828125, 174.58657836914062, 3600.349609375, 2135.61328125]",0.945363223552704
26,0,35,person,"[2541.82177734375, 243.74798583984375, 3467.58544921875, 2137.499755859375]",0.9417169094085692
27,0,36,person,"[2643.822265625, 112.38446044921875, 3613.467041015625, 2133.9326171875]",0.9467511177062988
28,0,37,person,"[2399.36083984375, 115.7047119140625, 3604.1357421875, 2132.427001953125]",0.9539900422096252
29,0,38,person,"[2444.7021484375, 141.13375854492188, 3576.90576171875, 2132.192138671875]",0.9452600479125975
30,0,39,person,"[2637.5048828125, 108.27191162109375, 3565.679443359375, 2138.8623046875]",0.9329038262367249
31,0,40,person,"[2288.133544921875, 212.75335693359375, 3601.30908203125, 2131.55859375]",0.93940669298172
32,0,41,person,"[2530.47900390625, 229.20794677734375, 3456.34375, 2138.88037109375]",0.9241509437561036
33,0,42,person,"[2615.13525390625, 212.49655151367188, 3562.8193359375, 2137.05615234375]",0.940277636051178
34,0,43,person,"[2664.64404296875, 220.3388671875, 3577.12060546875, 2129.0537109375]",0.9342592358589172
35,0,44,person,"[2516.37939453125, 202.29812622070312, 3665.319580078125, 2129.326416015625]",0.9429608583450316
36,0,45,person,"[2621.7666015625, 193.86767578125, 3642.5126953125, 2143.41552734375]",0.93825364112854
37,0,46,person,"[2656.4091796875, 185.8018798828125, 3685.781982421875, 2141.47900390625]",0.9222421646118164
38,0,47,person,"[2426.923828125, 221.68487548828125, 3574.4541015625, 2101.758056640625]",0.921990692615509
39,0,48,person,"[2532.54638671875, 125.24111938476562, 3627.586669921875, 2134.07470703125]",0.9414517283439636
40,0,49,person,"[2661.1708984375, 150.9869384765625, 3696.894287109375, 2142.947265625]",0.9333566427230836
41,0,50,person,"[2683.001953125, 150.5401611328125, 3680.890869140625, 2130.888671875]",0.93354070186615
42,0,51,person,"[2565.2802734375, 147.409423828125, 3629.27001953125, 2136.9150390625]",0.932839035987854
43,0,52,person,"[2670.391845703125, 185.423583984375, 3590.94384765625, 2132.35205078125]",0.924499809741974
44,0,53,person,"[2604.5673828125, 162.7628173828125, 3599.76611328125, 2130.741455078125]",0.9282042384147644
45,0,54,person,"[2552.2158203125, 137.93856811523438, 3431.41259765625, 2131.181884765625]",0.9331992268562316
46,0,56,person,"[2472.3212890625, 8.558990478515625, 3838.02197265625, 2070.12890625]",0.9099481105804444
47,0,57,person,"[2273.269775390625, 121.385009765625, 3367.83837890625, 1983.969970703125]",0.9298361539840698
48,0,58,person,"[2048.38720703125, 153.15774536132812, 3364.9833984375, 2107.868408203125]",0.9314027428627014
49,0,59,person,"[2143.580078125, 141.86480712890625, 3448.3046875, 2125.927001953125]",0.939157783985138
50,0,60,person,"[2327.41748046875, 122.21392822265625, 3327.12060546875, 2124.131103515625]",0.9303258657455444
51,0,61,person,"[2383.51220703125, 77.2174072265625, 3529.59375, 2133.0595703125]",0.9354454278945924
52,0,62,person,"[2361.614013671875, 86.00665283203125, 3574.7646484375, 2149.58154296875]",0.938217282295227
53,0,63,person,"[2425.46533203125, 140.54534912109375, 3517.691162109375, 2098.88427734375]",0.9378228783607484
54,0,64,person,"[2276.4833984375, 167.75271606445312, 3418.1962890625, 1874.9505615234375]",0.9296565651893616
55,0,65,person,"[2340.881103515625, 152.5645751953125, 3529.02099609375, 2008.751220703125]",0.9284600615501404
56,0,66,person,"[2332.95458984375, 120.23492431640625, 3526.05810546875, 2130.578125]",0.9478323459625244
